Dates;IBOV Index;MERVAL Index;SHCOMP Index;NKY Index;UKX Index;DAX Index;JALSH Index;SPX Index
31/01/2000;16388.3;566.28;1534.997;19539.7;6268.5;6835.6;8277.19;1394.46
29/02/2000;17660.2;631.64;1714.578;19959.52;6232.6;7644.55;7759.34;1366.42
31/03/2000;17820.4;569.24;1800.225;20337.32;6540.2;7599.39;7791.6;1498.58
28/04/2000;15537.6;509.51;1836.321;17973.7;6327.4;7414.68;7270.86;1452.43
31/05/2000;14956.6;464.3;1894.554;16332.45;6359.3;7109.67;7191.36;1420.6
30/06/2000;16727.9;496.9;1928.106;17411.05;6312.7;6898.21;7584.45;1454.6
31/07/2000;16454.6;502.01;2023.539;15727.49;6365.3;7190.37;7635.83;1430.83
31/08/2000;17346.7;474.66;2021.199;16861.26;6672.7;7216.45;8377.15;1517.68
29/09/2000;15928.4;475.42;1910.161;15747.26;6294.2;6798.12;8161.88;1436.51
31/10/2000;14867.2;440.9;1961.287;14539.6;6438.4;7077.44;8039.58;1429.4
30/11/2000;13287.4;399.49;2070.613;14648.51;6142.2;6372.33;7711.55;1314.95
29/12/2000;15259.3;416.77;2073.477;13785.69;6222.5;6433.61;8164.34;1320.28
31/01/2001;17672.8;532.8;2065.606;13843.55;6297.5;6795.14;8942.43;1366.01
28/02/2001;15891.4;435.85;1959.18;12883.54;5917.9;6208.24;8916.34;1239.94
30/03/2001;14438.5;443.81;2112.775;12999.7;5633.7;5829.95;8093.84;1160.33
30/04/2001;14917.5;435.63;2119.184;13934.32;5966.9;6264.51;8902.39;1249.46
31/05/2001;14650;439.22;2214.257;13262.14;5796.1;6123.26;9270.9;1255.82
29/06/2001;14559.8;402.25;2218.029;12969.05;5642.5;6058.38;9089.89;1224.42
31/07/2001;13754.2;320.79;1920.318;11860.77;5529.1;5861.19;8456.01;1211.23
31/08/2001;12840.6;319.89;1834.138;10713.51;5345;5188.17;8886.72;1133.58
28/09/2001;10635.7;243.55;1764.867;9774.68;4903.4;4308.15;7997.87;1040.94
31/10/2001;11364.7;224.75;1689.17;10366.34;5039.7;4559.13;8473.52;1059.78
30/11/2001;12931.7;202.45;1747.993;10697.44;5203.6;4989.91;9404.06;1139.45
31/12/2001;13577.6;295.39;1645.971;10542.62;5217.4;5160.1;10441.68;1148.08
31/01/2002;12721.5;439.2;1491.665;9997.8;5164.8;5107.61;10318.92;1130.21
28/02/2002;14033.3;398.25;1524.701;10587.83;5101;5039.08;10859.72;1106.73
29/03/2002;13254.5;436.13;1603.905;11024.94;5271.8;5397.29;10999.48;1147.39
30/04/2002;13085.1;387.79;1667.749;11492.54;5165.6;5041.2;10992.12;1076.92
31/05/2002;12861.4;317.55;1515.733;11763.7;5085.1;4818.3;11185.02;1067.14
28/06/2002;11139.2;350.65;1732.755;10621.84;4656.4;4382.56;10657.73;989.81
31/07/2002;9762.6;359.32;1651.594;9877.94;4246.2;3700.14;9239.02;911.62
30/08/2002;10382.2;375.16;1666.618;9619.3;4227.3;3712.94;9677.26;916.07
